,Name,Period,Diet,Country,UE
437,Gongpoquansaurus,Cretaceous,herbivore,China,no info
438,Gongxianosaurus,Jurassic,herbivore,China,no info
439,Gorgosaurus,Cretaceous,carnivore,North America,no info
440,Goyocephale,Cretaceous,herbivore/omnivore,Mongolia,no info
441,Graciliceratops,Cretaceous,herbivore,Mongolia,no info
442,Graciliraptor,Cretaceous,carnivore,China,no info
443,Gravitholus,Cretaceous,herbivore,North America,no info
444,Gryphoceratops,Cretaceous,herbivore,North America,no info
445,Gryposaurus,Cretaceous,herbivore,North America,no info
446,Gspsaurus,Cretaceous,herbivore,Pakistan,no info
447,Guaibasaurus,Triassic,carnivore,South America,no info
448,Gualicho,Cretaceous,carnivore,South America,no info
449,Guanlong,Jurassic,carnivore,China,no info
450,Gyposaurus,Jurassic,herbivore,South Africa & China (?),no info
451,Gyposaurus,Jurassic,herbivore,South Africa,no info
452,Hadrosaurus,Cretaceous,herbivore,North America,no info
453,Hagryphus,Cretaceous,carnivore,North America,no info
454,Halticosaurus,Triassic,carnivore,Germany,no info
455,Hanssuesia,Cretaceous,herbivore,North America,no info
456,Hanwulosaurus,Cretaceous,herbivore,China,no info
457,Haplocanthosaurus,Jurassic,herbivore,North America,no info
458,Haplocheirus,Jurassic,carnivore,China,no info
459,Harpymimus,Cretaceous,herbivore,Mongolia,no info
460,Haya,Cretaceous,herbivore/omnivore,Mongolia,no info
461,Heilongjiangosaurus,Cretaceous,herbivore,China,no info
462,Heishansaurus,Cretaceous,herbivore,China,no info
463,Helioceratops,Cretaceous,herbivore,China,no info
464,Heptasteornis,Cretaceous,carnivore,Romania,no info
465,Herrerasaurus,Triassic,carnivore,South America,no info
466,Hesperonychus,Cretaceous,carnivore,North America,no info
467,Hesperosaurus,Jurassic,herbivore,North America,no info
468,Heterodontosaurus,Jurassic,omnivore,South Africa,no info
469,Hexing,Cretaceous,herbivore,China,no info
470,Hexinlusaurus,Jurassic,herbivore,China,no info
471,Heyuannia,Cretaceous,carnivore,China,no info
472,Hippodraco,Cretaceous,herbivore,North America,no info
473,Histriasaurus,Cretaceous,herbivore,Croatia,no info
474,Homalocephale,Cretaceous,herbivore/omnivore,Mongolia,no info
475,Hoplitosaurus,Cretaceous,herbivore,North America,no info
476,Horshamosaurus,Cretaceous,herbivore,England,no info
477,Huabeisaurus,Cretaceous,herbivore,China,no info
478,Huanghetitan,Cretaceous,herbivore,China,no info
479,Huaxiagnathus,Cretaceous,carnivore,China,no info
480,Huayangosaurus,Jurassic,herbivore,China,no info
481,Hudiesaurus,Jurassic,herbivore,China,no info
482,Huehuecanauhtlus,Cretaceous,herbivore,North America,no info
483,Hulsanpes,Cretaceous,carnivore,Mongolia,no info
484,Hungarosaurus,Cretaceous,herbivore,Hungary,no info
485,Huxleysaurus,Cretaceous,herbivore,England,no info
486,Hylaeosaurus,Cretaceous,herbivore,England,no info
487,Hypacrosaurus,Cretaceous,herbivore,North America,no info
488,Hypselosaurus,Cretaceous,herbivore,France,no info
489,Hypselospinus,Cretaceous,herbivore,England,no info
490,Hypsibema,Cretaceous,herbivore,North America,no info
491,Hypsilophodon,Cretaceous,herbivore,England,no info
492,Ichthyovenator,Cretaceous,carnivore,Laos,no info
493,Ignavusaurus,Jurassic,herbivore,Lesotho,no info
494,Iguanacolossus,Cretaceous,herbivore,North America,no info
