,Name,Period,Diet,Country,UE
778,Paranthodon,Cretaceous,herbivore,South Africa,no info
779,Pararhabdodon,Cretaceous,herbivore,Spain,no info
780,Parasaurolophus,Cretaceous,herbivore,North America,no info
781,Parksosaurus,Cretaceous,herbivore,North America,no info
782,Paronychodon,Cretaceous,carnivore,North America,no info
783,Parvicursor,Cretaceous,carnivore?,Mongolia,no info
784,Patagonykus,Cretaceous,carnivore,South America,no info
785,Patagosaurus,Jurassic,herbivore,South America,no info
786,Pawpawsaurus,Cretaceous,herbivore,North America,no info
787,Pectinodon,Cretaceous,carnivore,North America,no info
788,Pedopenna,Jurassic,carnivore,China,no info
789,Pegomastax,Jurassic,omnivore,South Africa,no info
790,Peishansaurus,Cretaceous,herbivore,China,no info
791,Pelecanimimus,Cretaceous,carnivore,Spain,no info
792,Pellegrinisaurus,Cretaceous,herbivore,South America,no info
793,Peloroplites,Cretaceous,herbivore,North America,no info
794,Pelorosaurus,Cretaceous,herbivore,England & Portugal,no info
795,Penelopognathus,Cretaceous,herbivore,China,no info
796,Pentaceratops,Cretaceous,herbivore,North America,no info
797,Petrobrasaurus,Cretaceous,herbivore,South America,no info
798,Phaedrolosaurus,Cretaceous,carnivore,China,no info
799,Philovenator,Cretaceous,omnivore,China,no info
800,Phuwiangosaurus,Cretaceous,herbivore,Thailand,no info
801,Phuwiangvenator,Cretaceous,carnivore,Thailand,no info
802,Phyllodon,Jurassic,herbivore,Portugal,no info
803,Piatnitzkysaurus,Jurassic,carnivore,South America,no info
804,Pinacosaurus,Cretaceous,herbivore,Mongolia & China,no info
805,Pitekunsaurus,Cretaceous,herbivore,South America,no info
806,Piveteausaurus,Jurassic,carnivore,France,no info
807,Planicoxa,Cretaceous,herbivore,North America,no info
808,Plateosauravus,Triassic,herbivore,South Africa,no info
809,Plateosaurus,Triassic,herbivore,"Germany, France, Switzerland, Norway, & Greenland",no info
810,Platyceratops,Cretaceous,herbivore,Mongolia,no info
811,Plesiohadros,Cretaceous,herbivore,Mongolia,no info
812,Pneumatoraptor,Cretaceous,carnivore,Hungary,no info
813,Podokesaurus,Jurassic,carnivore,North America,no info
814,Poekilopleuron,Jurassic,carnivore,England,no info
815,Polacanthus,Cretaceous,herbivore,England,no info
816,Polyonax,Cretaceous,herbivore,North America,no info
817,Pradhania,Early Jurassic,omnivore,India,no info
818,Prenocephale,Cretaceous,herbivore/omnivore,Mongolia,no info
819,Prenoceratops,Cretaceous,herbivore,North America,no info
820,Priconodon,Cretaceous,herbivore,North America,no info
821,Priodontognathus,Jurassic,herbivore,England,no info
822,Proa,Cretaceous,herbivore,Spain,no info
823,Probactrosaurus,Cretaceous,herbivore,Mongolia & China,no info
824,Proceratosaurus,Jurassic,carnivore,England,no info
825,Procompsognathus,Triassic,carnivore,Germany,no info
826,Prodeinodon,Cretaceous,carnivore,Mongolia & China,no info
827,Propanoplosaurus,Cretaceous,herbivore,North America,no info
828,Proplanicoxa,Cretaceous,herbivore,England,no info
829,Prosaurolophus,Cretaceous,herbivore,North America,no info
830,Protarchaeopteryx,Cretaceous,herbivore/omnivore,China,no info
831,Protoavis,Triassic,carnivore,North America,no info
832,Protoceratops,Cretaceous,herbivore,Mongolia,no info
833,Protognathosaurus,Jurassic,herbivore,China,no info
834,Protohadros,Cretaceous,herbivore,North America,no info
835,Psittacosaurus,Cretaceous,herbivore,"China, Mongolia, Thailand (?), & Russia",no info
836,Pteropelyx,Cretaceous,herbivore,North America,no info
837,Pterospondylus,Triassic,carnivore,Germany,no info
838,Puertasaurus,Cretaceous,herbivore,South America,no info
839,Pukyongosaurus,Cretaceous,herbivore,South Korea,no info
840,Pycnonemosaurus,Cretaceous,carnivore,South America,no info
841,Pyroraptor,Cretaceous,carnivore,France,no info
842,Qantassaurus,Early Cretaceous,herbivore,Australia,no info
843,Qianzhousaurus,Cretaceous,carnivore,China,no info
844,Qiaowanlong,Cretaceous,herbivore,China,no info
845,Qingxiusaurus,Cretaceous,herbivore,China,no info
846,Qinlingosaurus,Cretaceous,herbivore,China,no info
847,Qiupalong,Cretaceous,omnivore,Mongolia & Canada,no info
848,Quaesitosaurus,Cretaceous,herbivore,Mongolia,no info
849,Quetecsaurus,Cretaceous,herbivore,South America,no info
850,Quilmesaurus,Cretaceous,carnivore,South America,no info
851,Rahiolisaurus,Late Cretaceous,carnivore,India,no info
852,Rahonavis,Late Cretaceous,carnivore,Madagascar,no info
853,Rajasaurus,Late Cretaceous,carnivore,India,no info
854,Rapator,Early Cretaceous,carnivore,Australia,no info
855,Rapetosaurus,Late Cretaceous,herbivore,Madagascar,no info
856,Raptorex,Cretaceous,carnivore,Mongolia (& China ?),no info
857,Ratchasimasaurus,Cretaceous,herbivore,Thailand,no info
858,Rayososaurus,Cretaceous,herbivore,South America,no info
859,Rebbachisaurus,Cretaceous,herbivore,"Morocco, Niger & Tunisia",no info
860,Regnosaurus,Cretaceous,herbivore,England,no info
861,Rhabdodon,Cretaceous,herbivore,"France, Czech Republic, Romania, Spain",no info
862,Rhadinosaurus,Cretaceous,herbivore,"Austria, Romania, France, Hungary",no info
863,Rhoetosaurus,Middle Jurassic,herbivore,Australia,no info
864,Riabininohadros,Cretaceous,herbivore,Russia,no info
865,Richardoestesia,Cretaceous,carnivore,North America,no info
866,Rinchenia,Cretaceous,omnivore,Mongolia,no info
867,Rinconsaurus,Cretaceous,herbivore,South America,no info
868,Riojasaurus,Triassic,herbivore,South America,no info
869,Rocasaurus,Cretaceous,herbivore,South America,no info
870,Ronaldoraptor,Cretaceous,omnivore,Mongolia,no info
871,Rubeosaurus,Cretaceous,herbivore,North America,no info
872,Ruehleia,Triassic,herbivore,Germany,no info
873,Rugops,Cretaceous,carnivore,Niger,no info
874,Rukwatitan,Cretaceous,herbivore,Tanzania,no info
875,Ruyangosaurus,Cretaceous,herbivore,China,no info
876,Sahaliyania,Cretaceous,herbivore,China,no info
877,Saichania,Cretaceous,herbivore,Mongolia,no info
878,Saltasaurus,Cretaceous,herbivore,South America,no info
879,Saltriovenator,Jurassic,carnivore,Italy,no info
880,Sanchusaurus,Cretaceous,herbivore,Japan,no info
881,Sangonghesaurus,Jurassic/Cretaceous,herbivore,China,no info
882,Sanjuansaurus,Triassic,carnivore,South America,no info
883,Sanpasaurus,Jurassic,herbivore,China,no info
884,Santanaraptor,Cretaceous,carnivore,South America,no info
885,Sarahsaurus,Jurassic,herbivore,North America,no info
886,Sarcolestes,Jurassic,herbivore,England,no info
887,Sarcosaurus,Jurassic,carnivore,England,no info
888,Sarmientosaurus,Cretaceous,herbivore,South America,no info
889,Saturnalia,Triassic,herbivore,South America,no info
890,Saurolophus,Cretaceous,herbivore,"Mongolia, USA, Canada & China",no info
891,Saurolophus,Cretaceous,herbivore,North America,no info
892,Sauroniops,Cretaceous,carnivore,Morocco,no info
893,Sauropelta,Cretaceous,herbivore,North America,no info
894,Saurophaganax,Jurassic,carnivore,North America,no info
895,Sauroplites,Cretaceous,herbivore,China,no info
896,Sauroposeidon,Cretaceous,herbivore,North America,no info
897,Saurornithoides,Cretaceous,carnivore,Mongolia,no info
898,Saurornitholestes,Cretaceous,carnivore,North America,no info
899,Savannasaurus,Late Cretaceous,herbivore,Australia,no info
900,Scansoriopteryx,Jurassic,carnivore,China,no info
901,Scelidosaurus,Jurassic,herbivore,England,no info
902,Scipionyx,Cretaceous,carnivore,Italy,no info
903,Sciurumimus,Jurassic,carnivore,Germany,no info
904,Scolosaurus,Cretaceous,herbivore,North America,no info
905,Scutellosaurus,Jurassic,herbivore,North America,no info
906,Secernosaurus,Cretaceous,herbivore,South America,no info
907,Segisaurus,Jurassic,carnivore,North America,no info
908,Segnosaurus,Cretaceous,herbivore/omnivore,Mongolia,no info
909,Seitaad,Jurassic,herbivore,North America,no info
910,Sellacoxa,Cretaceous,herbivore,England,no info
911,Serendipaceratops,Early Cretaceous,herbivore,Australia,no info
912,Shamosaurus,Cretaceous,herbivore,Mongolia,no info
913,Shanag,Cretaceous,carnivore,Mongolia,no info
914,Shantungosaurus,Cretaceous,herbivore,China,no info
915,Shanxia,Cretaceous,herbivore,China,no info
916,Shanyangosaurus,Cretaceous,(unknown),China,no info
917,Shaochilong,Cretaceous,carnivore,China,no info
918,Shenzhousaurus,Cretaceous,herbivore,China,no info
919,Shidaisaurus,Jurassic,carnivore,China,no info
920,Shishugounykus,Jurassic,carnivore,China,no info
921,Shixinggia,Cretaceous,omnivore,China,no info
922,Shuangmiaosaurus,Cretaceous,herbivore,China,no info
923,Shunosaurus,Jurassic,herbivore,China,no info
924,Shuvuuia,Cretaceous,carnivore,Mongolia,no info
925,Siamodon,Cretaceous,herbivore,Thailand,no info
926,Siamosaurus,Cretaceous,carnivore,Thailand,no info
927,Siamotyrannus,Cretaceous,carnivore,Thailand,no info
928,Siamraptor,Cretaceous,Carnivore,Thailand,no info
929,Siats,Cretaceous,carnivore,North America,no info
930,Sigilmassasaurus,Cretaceous,carnivore,Morocco,no info
931,Siluosaurus,Cretaceous,herbivore,China,no info
932,Silvisaurus,Cretaceous,herbivore,North America,no info
933,Similicaudipteryx,Cretaceous,omnivore,China,no info
934,Sinocalliopteryx,Cretaceous,carnivore,China,no info
935,Sinoceratops,Cretaceous,herbivore,China,no info
936,Sinocoelurus,Jurassic,carnivore,China,no info
937,Sinopliosaurus,Cretaceous,carnivore,China,no info
938,Sinornithoides,Cretaceous,carnivore,China,no info
939,Sinornithomimus,Cretaceous,omnivore,China,no info
940,Sinornithosaurus,Cretaceous,carnivore,China,no info
941,Sinosauropteryx,Cretaceous,carnivore,China,no info
942,Sinosaurus,Triassic/Jurassic,carnivore,China,no info
943,Sinotyrannus,Cretaceous,carnivore,China,no info
944,Sinovenator,Cretaceous,carnivore,China,no info
945,Sinraptor,Jurassic,carnivore,China,no info
946,Sinusonasus,Cretaceous,carnivore,China,no info
947,Sirindhorna,Cretaceous,herbivore,Thailand,no info
948,Skorpiovenator,Cretaceous,carnivore,South America,no info
949,Sonidosaurus,Cretaceous,herbivore,China,no info
950,Sonorasaurus,Cretaceous,herbivore,North America,no info
951,Soriatitan,Cretaceous,herbivore,Spain,no info
952,Sphaerotholus,Cretaceous,herbivore,North America,no info
953,Spinophorosaurus,Jurassic,herbivore,Niger,no info
954,Spinops,Cretaceous,herbivore,North America,no info
955,Spinosaurus,Cretaceous,carnivore,Egypt & Morocco,no info
956,Spinostropheus,Jurassic,carnivore,Niger,no info
957,SPS 100/44,Cretaceous,carnivore/omnivore,Mongolia,no info
958,Staurikosaurus,Triassic,carnivore,South America,no info
959,Stegoceras,Cretaceous,herbivore,North America,no info
960,Stegopelta,Cretaceous,herbivore,North America,no info
961,Stegosaurides,Cretaceous,herbivore,China,no info
962,Stegosaurus,Jurassic,herbivore,North America,no info
963,Stegosaurus,Jurassic,herbivore,Portugal & USA,no info
964,Stenonychosaurus,Cretaceous,carnivore,North America,no info
965,Stenopelix,Cretaceous,herbivore,Germany,no info
966,Stephanosaurus,Cretaceous,herbivore,North America,no info
967,Stokesosaurus,Jurassic,carnivore,North America,no info
968,Streptospondylus,Jurassic,carnivore,France,no info
969,Struthiomimus,Cretaceous,omnivore,North America,no info
970,Struthiosaurus,Cretaceous,herbivore,"Austria, France, Romania, Hungary",no info
971,Stygimoloch,Cretaceous,herbivore,North America,no info
972,Styracosaurus,Cretaceous,herbivore,North America,no info
973,Suchomimus,Cretaceous,carnivore,Niger,no info
974,Suchosaurus,Cretaceous,carnivore,England,no info
975,Sugiyamasaurus,Cretaceous,herbivore,Japan,no info
976,Sulaimanisaurus,Cretaceous,herbivore,Pakistan,no info
977,Supersaurus,Jurassic,herbivore,North America,no info
978,Suskityrannus,Cretaceous,Carnivore,North America,no info
979,Suuwassea,Jurassic,herbivore,North America,no info
980,Suzhousaurus,Cretaceous,herbivore,China,no info
981,Szechuanoraptor,Jurassic,herbivore,China,no info
982,Szechuanosaurus,Jurassic,carnivore,China,no info
983,Talarurus,Cretaceous,herbivore,Mongolia,no info
984,Talenkauen,Cretaceous,herbivore,South America,no info
985,Talos,Cretaceous,carnivore,North America,no info
986,Tambatitanis,Cretaceous,herbivore,Japan,no info
987,Tangvayosaurus,Cretaceous,herbivore,Laos,no info
988,Tanius,Cretaceous,herbivore,China,no info
989,Tanycolagreus,Jurassic,carnivore,North America,no info
990,Tanystrosuchus,Triassic,carnivore,Germany,no info
991,Taohelong,Cretaceous,herbivore,China,no info
992,Tapuiasaurus,Cretaceous,herbivore,South America,no info
993,Tarascosaurus,Cretaceous,carnivore,France,no info
994,Tarbosaurus,Cretaceous,carnivore,Mongolia & China,no info
995,Tarchia,Cretaceous,herbivore,Mongolia,no info
996,Tastavinsaurus,Cretaceous,herbivore,Spain,no info
997,Tatankacephalus,Cretaceous,herbivore,North America,no info
998,Tatankaceratops,Cretaceous,herbivore,North America,no info
999,Tataouinea,Cretaceous,herbivore,Tunisia,no info
1000,Tatisaurus,Jurassic,herbivore,China,no info
1001,Taurovenator,Cretaceous,carnivore,South America,no info
1002,Taveirosaurus,Cretaceous,herbivore,"Portugal, Spain",no info
1003,Tawa,Triassic,carnivore,North America,no info
1004,Tazoudasaurus,Jurassic,herbivore,Morocco,no info
1005,Tehuelchesaurus,Jurassic,herbivore,South America,no info
1006,Teinurosaurus,Jurassic,carnivore,Portugal,no info
1007,Telmatosaurus,Cretaceous,herbivore,Romania,no info
1008,Tendaguria,Jurassic,herbivore,Tanzania,no info
1009,Tengrisaurus,Cretaceous,herbivore,Russia,no info
1010,Tenontosaurus,Cretaceous,herbivore,North America,no info
1011,Teratophoneus,Cretaceous,carnivore,North America,no info
1012,Tethyshadros,Cretaceous,herbivore,Italy,no info
1013,Texacephale,Cretaceous,herbivore,North America,no info
1014,Texasetes,Cretaceous,herbivore,North America,no info
1015,Thanos,Cretaceous,carnivore,South America,no info
1016,Thecocoelurus,Cretaceous,carnivore,England,no info
1017,Thecodontosaurus,Triassic,herbivore,England,no info
1018,Thecospondylus,Cretaceous,(carnivore),England,no info
1019,Theiophytalia,Cretaceous,herbivore,North America,no info
1020,Therizinosaurus,Cretaceous,herbivore,Mongolia,no info
1021,Therosaurus,Cretaceous,herbivore,England,no info
1022,Thescelosaurus,Cretaceous,herbivore,North America,no info
1023,Thespesius,Cretaceous,herbivore,North America,no info
1024,Thotobolosaurus,Triassic,herbivore,Lesotho,no info
1025,Tianchisaurus,Jurassic,herbivore,China,no info
1026,Tianyulong,Jurassic,omnivore,China,no info
1027,Tianyuraptor,Cretaceous,carnivore,China,no info
1028,Tianzhenosaurus,Cretaceous,herbivore,China,no info
1029,Tichosteus,Jurassic,herbivore,North America,no info
1030,Tienshanosaurus,Jurassic,herbivore,China,no info
1031,Timimus,Early Cretaceous,?,Australia,no info
1032,Titanoceratops,Cretaceous,herbivore,North America,no info
1033,Titanosaurus,Late Cretaceous,herbivore,India,no info
1034,Tochisaurus,Cretaceous,omnivore,Mongolia,no info
1035,Tonganosaurus,Jurassic,herbivore,China,no info
1036,Tonouchisaurus,Cretaceous,(unknown),Mongolia,no info
1037,Tornieria,Jurassic,herbivore,Tanzania,no info
1038,Torosaurus,Cretaceous,herbivore,North America,no info
1039,Torvosaurus,Jurassic,carnivore,North America,no info
1040,Torvosaurus,Jurassic,carnivore,Portugal & USA,no info
1041,Trachodon,Cretaceous,herbivore,North America,no info
1042,Tralkasaurus,Cretaceous,carnivore,South America,no info
1043,Traukutitan,Cretaceous,herbivore,South America,no info
1044,Triceratops,Cretaceous,herbivore,North America,no info
1045,Trigonosaurus,Cretaceous,herbivore,South America,no info
1046,Trimucrodon,Jurassic,herbivore,Portugal,no info
1047,Trinisaura,Late Cretaceous,herbivore,Antarctica,no info
1048,Troodon,Cretaceous,carnivore,North America,no info
1049,Tsaagan,Cretaceous,carnivore,Mongolia,no info
1050,Tsagantegia,Cretaceous,herbivore,Mongolia,no info
1051,Tsintaosaurus,Cretaceous,herbivore,China,no info
1052,Tugulusaurus,Cretaceous,carnivore?,China,no info
1053,Tuojiangosaurus,Jurassic,herbivore,China,no info
1054,Turanoceratops,Cretaceous,herbivore,Uzbekistan,no info
1055,Turiasaurus,Jurassic/Cretaceous,herbivore,"Spain, Portugal",no info
1056,Tylocephale,Cretaceous,herbivore,Mongolia,no info
1057,Tyrannosaurus,Cretaceous,carnivore,North America,no info
1058,Tyrannotitan,Cretaceous,carnivore,South America,no info
1059,Uberabatitan,Cretaceous,herbivore,South America,no info
1060,Udanoceratops,Cretaceous,herbivore,Mongolia,no info
1061,Ultrasaurus,Cretaceous,herbivore,South Korea,no info
1062,Unaysaurus,Triassic,herbivore,South America,no info
1063,Unenlagia,Cretaceous,carnivore,South America,no info
1064,Unescoceratops,Cretaceous,herbivore,North America,no info
1065,Unquillosaurus,Cretaceous,carnivore,South America,no info
1066,Urbacodon,Cretaceous,carnivore,Uzbekistan,no info
1067,Utahceratops,Cretaceous,herbivore,North America,no info
1068,Utahraptor,Cretaceous,carnivore,North America,no info
1069,Uteodon,Jurassic,herbivore,North America,no info
1070,Vagaceratops,Cretaceous,herbivore,North America,no info
1071,Vahiny,Late Cretaceous,herbivore,Madagascar,no info
1072,Valdoraptor,Cretaceous,carnivore,England,no info
1073,Valdosaurus,Cretaceous,herbivore,England,no info
1074,Vallibonavenatrix,Cretaceous,carnivore,Spain,no info
1075,Variraptor,Cretaceous,carnivore,England,no info
1076,Vayuraptor,Cretaceous,carnivore,Thailand,no info
1077,Velafrons,Cretaceous,herbivore,North America,no info
1078,Velocipes,Triassic,carnivore,Poland,no info
1079,Velociraptor,Cretaceous,carnivore,Mongolia & China,no info
1080,Velocisaurus,Cretaceous,carnivore,South America,no info
1081,Venenosaurus,Cretaceous,herbivore,North America,no info
1082,Veterupristisaurus,Jurassic,carnivore,Tanzania,no info
1083,Vitakridrinda,Cretaceous,carnivore,Pakistan,no info
1084,Vitakrisaurus,Cretaceous,carnivore,Pakistan,no info
1085,Volkheimeria,Jurassic,herbivore,South America,no info
1086,Vouivria,Jurassic,herbivore,France,no info
1087,Vulcanodon,Jurassic,herbivore,Zimbabwe,no info
1088,Wakinosaurus,Cretaceous,carnivore,Japan,no info
1089,Walgettosuchus,Early Cretaceous,carnivore,Australia,no info
1090,Wamweracaudia,Jurassic,herbivore,Tanzania,no info
1091,Wannanosaurus,Cretaceous,herbivore,China,no info
1092,Weewarrasaurus,Late Cretaceous,herbivore,Australia,no info
1093,Wellnhoferia,Jurassic,carnivore,Germany,no info
1094,Willinakaqe,Cretaceous,herbivore,South America,no info
1095,Wintonotitan,Early Cretaceous,herbivore,Australia,no info
1096,Wuerhosaurus,Cretaceous,herbivore,China & Mongolia,no info
1097,Wulagasaurus,Cretaceous,herbivore,China,no info
1098,Wulatelong,Cretaceous,omnivore,China,no info
1099,Xenoceratops,Cretaceous,herbivore,North America,no info
1100,Xenoposeidon,Cretaceous,herbivore,England,no info
1101,Xenotarsosaurus,Cretaceous,carnivore,South America,no info
1102,Xianshanosaurus,Cretaceous,herbivore,China,no info
1103,Xiaosaurus,Jurassic,herbivore,China,no info
1104,Xiaotingia,Jurassic,carnivore,China,no info
1105,Xinjiangovenator,Cretaceous,carnivore,Formerly referred to Phaedrolosaurus.,no info
1106,Xinjiangtitan,Jurassic,herbivore,A sauropod with an unusually long neck.,no info
1107,Xiongguanlong,Cretaceous,carnivore,China,no info
1108,Xixianykus,Cretaceous,(unknown),China,no info
1109,Xixiasaurus,Cretaceous,carnivore,A troodontid.,no info
1110,Xixiposaurus,Jurassic,omnivore,A basal sauropodomorph.,no info
1111,Xuanhanosaurus,Jurassic,carnivore,It was once thought to walk on four legs. This is now unlikely.,no info
1112,Xuanhuaceratops,Jurassic,herbivore,A basal ceratopsian.,no info
1113,Xunmenglong,Cretaceous,Carnivore,China,no info
1114,Xuwulong,Cretaceous,herbivore,China,no info
1115,Yamaceratops,Cretaceous,herbivore,Mongolia,no info
1116,Yamanasaurus,Cretaceous,herbivore,South America,no info
1117,Yandusaurus,Jurassic,herbivore,China,no info
1118,Yangchuanosaurus,Jurassic,carnivore,China,no info
1119,Yaverlandia,Cretaceous,carnivore,England,no info
1120,Yibinosaurus,Jurassic,herbivore,Probably a sauropod.,no info
1121,Yimenosaurus,Jurassic,herbivore,A large basal sauropodomorph.,no info
1122,Yingshanosaurus,Jurassic,herbivore,China,no info
1123,Yinlong,Jurassic,herbivore,A basal ceratopsian.,no info
1124,Yixianosaurus,Cretaceous,carnivore,The only anchiornithid to live in the Cretaceous.,no info
1125,Yizhousaurus,Jurassic,herbivore,This name was a nomen nudum for eight years and was only formally described in 2018.,no info
1126,Yongjinglong,Cretaceous,herbivore,A very large sauropod.,no info
1127,Yuanmousaurus,Jurassic,herbivore,A mamenchisaurid sauropod.,no info
1128,Yueosaurus,Cretaceous,herbivore,Probably a relative of Jeholosaurus.,no info
1129,Yulong,Cretaceous,omnivore,A small oviraptorosaur.,no info
1130,Yunganglong,Cretaceous,herbivore,A hadrosauroid.,no info
1131,Yunnanosaurus,Jurassic,herbivore,A basal sauropodomorph.,no info
1132,Yunxianosaurus,Cretaceous,herbivore,Possibly a titanosaur.,no info
1133,Yurgovuchia,Cretaceous,carnivore,North America,no info
1134,Yutyrannus,Cretaceous,carnivore,China,no info
1135,Zalmoxes,Cretaceous,herbivore,Romania,no info
1136,Zanabazar,Cretaceous,carnivore,Mongolia,no info
1137,Zapalasaurus,Cretaceous,herbivore,South America,no info
1138,Zapsalis,Cretaceous,carnivore,North America,no info
1139,Zby,Jurassic,herbivore,Portugal,no info
1140,Zephyrosaurus,Cretaceous,herbivore,North America,no info
1141,Zhanghenglong,Cretaceous,herbivore,China,no info
1142,Zhejiangosaurus,Cretaceous,herbivore,China,no info
1143,Zhongornis,Cretaceous,(unknown),China,no info
1144,Zhongyuansaurus,Cretaceous,herbivore,China,no info
1145,Zhuchengceratops,Cretaceous,herbivore,China,no info
1146,Zhuchengtyrannus,Cretaceous,carnivore,China,no info
1147,Ziapelta,Cretaceous,herbivore,North America,no info
1148,Zigongosaurus,Jurassic,herbivore,China,no info
1149,Zizhongosaurus,Jurassic,herbivore,China,no info
1150,Zuniceratops,Cretaceous,herbivore,North America,no info
1151,Zuolong,Jurassic,carnivore,China,no info
1152,Zupaysaurus,Triassic,carnivore,South America,no info
1153,Zuul,Cretaceous,herbivore,North America,no info
0,Coleophysis bauri,no info,no info,no info,no info
1,Plateosaurus engelhardti,no info,no info,no info,no info
2,Allosaurus fragilis,no info,no info,no info,no info
3,Apatosaurus excelsus,no info,no info,no info,no info
4,Barosaurus lentus,no info,no info,no info,no info
5,Camarasaurus lentus,no info,no info,no info,no info
6,Camptosaurus dispar,no info,no info,no info,no info
7,Diplodocus longus,no info,no info,no info,no info
8,Mamenchisaurus hochuanensis,no info,no info,no info,no info
9,Ornitholestes hermanni,no info,no info,no info,no info
10,Stegosaurus stenops,no info,no info,no info,no info
11,Albertosaurus libratus,no info,no info,no info,no info
12,Anatotitan copei,no info,no info,no info,no info
13,Ankylosaurus magniventris,no info,no info,no info,no info
14,Argentinosaurus huinculensis,no info,no info,no info,no info
15,Centrosaurus apterus,no info,no info,no info,no info
16,Chasmosaurus kaiseni /belli,no info,no info,no info,no info
17,Corythosaurus casuarius,no info,no info,no info,no info
18,Deinonychus anthiroppus,no info,no info,no info,no info
19,Edmontonia rugosidens,no info,no info,no info,no info
20,Edmontosaurus annectens,no info,no info,no info,no info
21,Hesperornis regalis,no info,no info,no info,no info
22,Hypacrosaurus altispinus,no info,no info,no info,no info
23,Lambeosaurus lambei,no info,no info,no info,no info
24,Microvenator celer,no info,no info,no info,no info
25,Oviraptor philoceratops,no info,no info,no info,no info
26,Pachycephalosaurus wyomingensis,no info,no info,no info,no info
27,Prosaurolophus maximus,no info,no info,no info,no info
28,Psittacosaurus mongoliensis,no info,no info,no info,no info
29,Saurolophus osborni,no info,no info,no info,no info
30,Sauropelta edwardsi,no info,no info,no info,no info
31,Saurornithoides mongoliensis,no info,no info,no info,no info
32,Struthiomimus altus,no info,no info,no info,no info
33,Styracosaurus albertensis,no info,no info,no info,no info
34,Tenontosaurus tilletti,no info,no info,no info,no info
35,Triceratops horridus,no info,no info,no info,no info
36,Tyrannosaurus rex,no info,no info,no info,no info
37,Velociraptor mongoliensis,no info,no info,no info,no info
38,Diatryma gigantean,no info,no info,no info,no info
39,Presbyornis pervetus,no info,no info,no info,no info
40,Psilopterus australis,no info,no info,no info,no info
0,Coleophysis bauri,no info,no info,no info,no info
1,Plateosaurus engelhardti,no info,no info,no info,no info
2,Allosaurus fragilis,no info,no info,no info,no info
3,Apatosaurus excelsus,no info,no info,no info,no info
4,Barosaurus lentus,no info,no info,no info,no info
5,Camarasaurus lentus,no info,no info,no info,no info
6,Camptosaurus dispar,no info,no info,no info,no info
7,Diplodocus longus,no info,no info,no info,no info
8,Mamenchisaurus hochuanensis,no info,no info,no info,no info
9,Ornitholestes hermanni,no info,no info,no info,no info
10,Stegosaurus stenops,no info,no info,no info,no info
11,Albertosaurus libratus,no info,no info,no info,no info
12,Anatotitan copei,no info,no info,no info,no info
13,Ankylosaurus magniventris,no info,no info,no info,no info
14,Argentinosaurus huinculensis,no info,no info,no info,no info
15,Centrosaurus apterus,no info,no info,no info,no info
16,Chasmosaurus kaiseni /belli,no info,no info,no info,no info
17,Corythosaurus casuarius,no info,no info,no info,no info
18,Deinonychus anthiroppus,no info,no info,no info,no info
19,Edmontonia rugosidens,no info,no info,no info,no info
20,Edmontosaurus annectens,no info,no info,no info,no info
21,Hesperornis regalis,no info,no info,no info,no info
22,Hypacrosaurus altispinus,no info,no info,no info,no info
23,Lambeosaurus lambei,no info,no info,no info,no info
24,Microvenator celer,no info,no info,no info,no info
25,Oviraptor philoceratops,no info,no info,no info,no info
26,Pachycephalosaurus wyomingensis,no info,no info,no info,no info
27,Prosaurolophus maximus,no info,no info,no info,no info
28,Psittacosaurus mongoliensis,no info,no info,no info,no info
29,Saurolophus osborni,no info,no info,no info,no info
30,Sauropelta edwardsi,no info,no info,no info,no info
31,Saurornithoides mongoliensis,no info,no info,no info,no info
32,Struthiomimus altus,no info,no info,no info,no info
33,Styracosaurus albertensis,no info,no info,no info,no info
34,Tenontosaurus tilletti,no info,no info,no info,no info
35,Triceratops horridus,no info,no info,no info,no info
36,Tyrannosaurus rex,no info,no info,no info,no info
37,Velociraptor mongoliensis,no info,no info,no info,no info
38,Diatryma gigantean,no info,no info,no info,no info
39,Presbyornis pervetus,no info,no info,no info,no info
40,Psilopterus australis,no info,no info,no info,no info
0,Coleophysis bauri,no info,no info,no info,no info
1,Plateosaurus engelhardti,no info,no info,no info,no info
2,Allosaurus fragilis,no info,no info,no info,no info
3,Apatosaurus excelsus,no info,no info,no info,no info
4,Barosaurus lentus,no info,no info,no info,no info
5,Camarasaurus lentus,no info,no info,no info,no info
6,Camptosaurus dispar,no info,no info,no info,no info
7,Diplodocus longus,no info,no info,no info,no info
8,Mamenchisaurus hochuanensis,no info,no info,no info,no info
9,Ornitholestes hermanni,no info,no info,no info,no info
10,Stegosaurus stenops,no info,no info,no info,no info
11,Albertosaurus libratus,no info,no info,no info,no info
12,Anatotitan copei,no info,no info,no info,no info
13,Ankylosaurus magniventris,no info,no info,no info,no info
14,Argentinosaurus huinculensis,no info,no info,no info,no info
15,Centrosaurus apterus,no info,no info,no info,no info
16,Chasmosaurus kaiseni /belli,no info,no info,no info,no info
17,Corythosaurus casuarius,no info,no info,no info,no info
18,Deinonychus anthiroppus,no info,no info,no info,no info
19,Edmontonia rugosidens,no info,no info,no info,no info
20,Edmontosaurus annectens,no info,no info,no info,no info
21,Hesperornis regalis,no info,no info,no info,no info
22,Hypacrosaurus altispinus,no info,no info,no info,no info
23,Lambeosaurus lambei,no info,no info,no info,no info
